group,count,generated_mae,generated_ssim,generated_dark_field_dice,generated_change_ratio,swap_l1,generated_lower_saturation_excess,generated_border_abs_diff,generated_high_frequency_ratio,generated_tv_ratio,generated_dark_field_area_ratio,target_mean_intensity_delta,generated_mean_intensity_delta,mean_intensity_delta_mae,mean_intensity_delta_bias,mean_intensity_delta_corr,mean_intensity_delta_sign_agreement
overall,152,0.1530408720534883,0.5015521106359205,0.71747805687942,0.41168410340814215,0.015647610637212223,0.008598615072275457,0.19321639762309037,0.6177491649593178,0.6352083292838774,1.136911672589026,-0.003813241853525762,0.006647233900270964,0.026631312346772157,0.010460475753796725,0.5361686000314694,0.618421052631579
control,141,0.15318948130869695,0.5040526721917146,0.718784048624918,0.4096967323240659,0.015643315224624223,0.008587220353437647,0.19402457800105954,0.6235656898917882,0.6420241898678719,1.1389080180344007,-0.002531855664354687,0.006372271066016336,0.025884257774826492,0.008904126730371026,0.5555135901317925,0.6382978723404256
treated,11,0.1511359716003591,0.46949945796619763,0.7007376172325828,0.4371585873040286,0.015702670016749288,0.008744674650105554,0.1828569945963946,0.5431918908249248,0.5478413890708577,1.1113221536983142,-0.02023828300562772,0.01017175750298935,0.036207193678075615,0.030410040508617068,0.3208783421729318,0.36363636363636365
status=control_clean,141,0.15318948130869695,0.5040526721917146,0.718784048624918,0.4096967323240659,0.015643315224624223,0.008587220353437647,0.19402457800105954,0.6235656898917882,0.6420241898678719,1.1389080180344007,-0.002531855664354687,0.006372271066016336,0.025884257774826492,0.008904126730371026,0.5555135901317925,0.6382978723404256
status=treated_iv_furo_clean,11,0.1511359716003591,0.46949945796619763,0.7007376172325828,0.4371585873040286,0.015702670016749288,0.008744674650105554,0.1828569945963946,0.5431918908249248,0.5478413890708577,1.1113221536983142,-0.02023828300562772,0.01017175750298935,0.036207193678075615,0.030410040508617068,0.3208783421729318,0.36363636363636365
